@relation in-vehicle-coupon-recom_final_bin

@attribute destination=Home numeric
@attribute destination=NoUrgentPlace numeric
@attribute destination=Work numeric
@attribute passanger=Alone numeric
@attribute passanger=Friend(s) numeric
@attribute passanger=Kid(s) numeric
@attribute passanger=Partner numeric
@attribute weather=Rainy numeric
@attribute weather=Snowy numeric
@attribute weather=Sunny numeric
@attribute temperature=shortTemp numeric
@attribute temperature=meanTemp numeric
@attribute temperature=highTemp numeric
@attribute time=10AM numeric
@attribute time=10PM numeric
@attribute time=2PM numeric
@attribute time=6PM numeric
@attribute time=7AM numeric
@attribute coupon=Bar numeric
@attribute coupon=Carryout&Takeaway numeric
@attribute coupon=CoffeeHouse numeric
@attribute coupon=Restaurant(20-50) numeric
@attribute coupon=Restaurant(<20) numeric
@attribute expiration=short numeric
@attribute gender=Male numeric
@attribute age=21 numeric
@attribute age=26 numeric
@attribute age=31 numeric
@attribute age=36 numeric
@attribute age=41 numeric
@attribute age=46 numeric
@attribute age=50plus numeric
@attribute age=below21 numeric
@attribute maritalstatus=Divorced numeric
@attribute maritalstatus=Marriedpartner numeric
@attribute maritalstatus=Single numeric
@attribute maritalstatus=Unmarriedpartner numeric
@attribute maritalstatus=Widowed numeric
@attribute has_children=1 numeric
@attribute education=Associatesdegree numeric
@attribute education=Bachelorsdegree numeric
@attribute education=Graduatedegree(MastersorDoctorate) numeric
@attribute education=HighSchoolGraduate numeric
@attribute education=SomeHighSchool numeric
@attribute education=Somecollege-nodegree numeric
@attribute occupation=Architecture&Engineering numeric
@attribute occupation=ArtsDesignEntertainmentSports&Media numeric
@attribute occupation=Building&GroundsCleaning&Maintenance numeric
@attribute occupation=Business&Financial numeric
@attribute occupation=Community&SocialServices numeric
@attribute occupation=Computer&Mathematical numeric
@attribute occupation=Construction&Extraction numeric
@attribute occupation=Education&Training&Library numeric
@attribute occupation=FarmingFishing&Forestry numeric
@attribute occupation=FoodPreparation&ServingRelated numeric
@attribute occupation=HealthcarePractitioners&Technical numeric
@attribute occupation=HealthcareSupport numeric
@attribute occupation=InstallationMaintenance&Repair numeric
@attribute occupation=Legal numeric
@attribute occupation=LifePhysicalSocialScience numeric
@attribute occupation=Management numeric
@attribute occupation=Office&AdministrativeSupport numeric
@attribute occupation=PersonalCare&Service numeric
@attribute occupation=ProductionOccupations numeric
@attribute occupation=ProtectiveService numeric
@attribute occupation=Retired numeric
@attribute occupation=Sales&Related numeric
@attribute occupation=Student numeric
@attribute occupation=Transportation&MaterialMoving numeric
@attribute occupation=Unemployed numeric
@attribute income=$100000orMore numeric
@attribute income=$12500-$24999 numeric
@attribute income=$25000-$37499 numeric
@attribute income=$37500-$49999 numeric
@attribute income=$50000-$62499 numeric
@attribute income=$62500-$74999 numeric
@attribute income=$75000-$87499 numeric
@attribute income=$87500-$99999 numeric
@attribute income=Lessthan$12500 numeric
@attribute bar=1~3 numeric
@attribute bar=4~8 numeric
@attribute bar=gt8 numeric
@attribute bar=less1 numeric
@attribute bar=never numeric
@attribute coffeehouse=1~3 numeric
@attribute coffeehouse=4~8 numeric
@attribute coffeehouse=gt8 numeric
@attribute coffeehouse=less1 numeric
@attribute coffeehouse=never numeric
@attribute carryaway=1~3 numeric
@attribute carryaway=4~8 numeric
@attribute carryaway=gt8 numeric
@attribute carryaway=less1 numeric
@attribute carryaway=never numeric
@attribute restaurantlessthan20=1~3 numeric
@attribute restaurantlessthan20=4~8 numeric
@attribute restaurantlessthan20=gt8 numeric
@attribute restaurantlessthan20=less1 numeric
@attribute restaurantlessthan20=never numeric
@attribute restaurant20to50=1~3 numeric
@attribute restaurant20to50=4~8 numeric
@attribute restaurant20to50=gt8 numeric
@attribute restaurant20to50=less1 numeric
@attribute restaurant20to50=never numeric
@attribute tocoupon_geq15min=1 numeric
@attribute tocoupon_geq25min=1 numeric
@attribute direction_same=1 numeric
@attribute y {0,1}

@data
0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1
0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1
0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1
0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1
0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1
0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
